Date,Chili (red),Tomatoes,Beans (dry),Cassava,Maize,Oranges (big size),Peas (fresh),Potatoes (Irish),Sorghum
2013-10-01,1940.3594222222223,273.1998196721311,530.0429868852459,243.53093243243245,299.32967719298244,660.5478744680852,1332.3899217391304,235.40023559322034,247.7780807017544
2013-11-01,1070.0953368421053,288.8456754098361,525.8136819672131,246.7668189189189,320.72426545454545,603.5948607142857,1013.3063302325581,174.39085500000002,253.12401228070175
2013-12-01,655.9043089285715,284.8865655737705,432.92984590163934,237.622571875,335.98660816326526,576.1508538461538,631.0502622222223,138.6705737704918,248.30096315789473
2014-01-01,823.8639905660377,273.41163114754096,348.4151819672131,234.07555142857143,299.82126000000005,642.4702723404256,713.2194340909091,137.98414918032788,241.8656245614035
2014-02-01,1265.2549434782609,374.97236842105264,372.7066842105263,237.1396257142857,253.88405094339623,687.7032775,989.9137916666667,160.31584736842106,234.3315462962963
2014-03-01,1608.61411875,412.23772105263157,393.7192964912281,238.51712777777777,217.81016603773585,564.0754068181818,1161.186945,188.66734561403507,257.96651296296295
2014-04-01,1247.926192,403.11429482758615,399.10986034482755,241.6823909090909,211.02429019607843,507.5797298245614,1081.0877928571429,197.2893754385965,286.57831454545453
2014-05-01,1056.722186792453,362.4290160714286,382.11899464285716,229.1217625,221.50940192307692,481.9972232142857,826.6689615384615,187.8863589285714,314.8616019607843
2014-06-01,986.478279245283,350.4155,407.4985052631579,236.54369393939393,236.14803962264153,524.6735807017544,842.4810918918919,190.71303157894735,313.6556
2014-07-01,1171.74380625,408.340401754386,409.9007403508772,227.57070000000002,242.29392962962962,614.363058,840.9449931034483,181.32434385964913,294.9410981481481
2014-08-01,1158.2595959183675,370.9718052631579,412.6079105263158,226.05714285714285,243.39657884615386,675.2371255813954,1015.3440034482759,188.8463017857143,313.2001320754717
2014-09-01,1209.0352056603774,316.43550000000005,418.8721627118644,220.66881666666666,254.77916909090908,678.7338488372093,1248.8057959999999,197.9779254237288,332.9623943396226
2014-10-01,1087.66115625,309.2908,396.1288,217.74946250000002,258.596603125,588.080025,1436.18914375,183.84359444444442,337.81423125
2014-11-01,1009.0747232142858,373.5532081967213,364.6226508196721,209.15625,256.1405679245283,550.0767407407408,727.943969047619,143.67183606557376,362.3234425925926
2014-12-01,828.3088384615385,331.18645535714285,340.8223982142857,220.92626774193548,250.51546862745099,573.1171568181818,638.1228536585365,131.59355357142857,376.56295531914895
2015-01-01,934.2137392156862,333.01447368421054,315.93182631578946,208.85318529411762,222.0264826923077,645.2750558139535,812.0271514285714,139.30230175438598,363.60102307692307
2015-02-01,1044.352972,372.12399999999997,315.7232228070175,196.44186129032258,189.40697647058826,616.5581000000001,994.2653931034483,158.76985714285712,354.0398215686275
2015-03-01,1113.1415113207547,363.105849122807,340.0629175438596,214.6446193548387,184.14583846153846,547.8303518518519,1055.9852448275863,179.43794821428574,354.87586470588235
2015-04-01,1004.9749438596491,425.5111540983607,386.87927704918036,232.00101212121214,208.5849296296296,507.60003500000005,1061.242893548387,185.43599333333336,384.83309444444444
2015-05-01,976.4910754385966,444.61346721311475,420.12016557377046,235.85955882352943,213.33620545454545,501.3204475409836,931.1989333333333,179.71824,388.8096777777778
2015-06-01,884.5521,377.58678852459013,395.4307524590164,217.98522352941177,219.0220642857143,534.2107,864.1738377777777,168.17693278688526,354.1798035714286
2015-07-01,889.4237928571429,337.6774918032787,380.8583327868852,217.92633636363635,230.46299285714284,597.6430763636364,834.9395947368421,179.6560655737705,328.65832727272726
2015-08-01,1041.3602285714285,372.9436262295082,388.8568049180328,224.01156571428572,239.77942592592592,685.69258,894.8749741935484,206.16529833333334,330.45238035714283
2015-09-01,1371.0901491228071,437.2509737704918,405.96597540983606,222.81404857142857,251.10709818181817,725.7173083333333,1203.9626592592592,218.25415333333333,326.93588
2015-10-01,1536.610701923077,402.7949357142857,418.10695535714285,218.30194333333333,248.51955714285714,676.82833125,1499.9386,217.41501636363637,329.7281490196079
2015-11-01,1276.7685823529412,380.1409614035088,448.04296140350874,230.62441935483872,276.9368020408163,547.4095245283019,1144.4936945945947,210.15316785714285,331.7911846153846
2015-12-01,917.3678576923077,367.7374357142857,466.65565535714285,239.383332,298.8762395833333,543.3929,836.926785,184.2425982142857,336.81730799999997
